"path","sha256","bytes","touches_lowcode_pages","contains_full_schema_upsert"
"supabase-migrations/20260812110000_mes_runtime_action_guards.sql","772458ffd6f6e6e77382ce672cdd95c6dcaa0a279e992cb77b0a18206661e70d","9669","True","True"
"supabase-migrations/20260812120000_sales_order_edit_save_details.sql","2c063c25df1b0ba4669090604fe249dbd1e5ff201572213a2843e1515928c6c7","20597","True","True"
"supabase-migrations/20260812150000_planning_operationmaterial_base_info.sql","0719917ff06c4a0fba0a94ce8c9da965c3fac49810db0b87ddf3bbf51866c4f8","5280","True","False"
"supabase-migrations/20260812170000_mes_command_conflicts_and_refresh.sql","462c5335ce7e9453c72e1865e2d3b2c7e053817d518cc1f9b8bfa570f543eac7","4530","True","True"
"supabase-migrations/20260812190000_restore_option_source_detail_grid.sql","093986b53e35494394d9cb72eb2e5f8e1b6bedfdf7ef7c1c5b1f0e4afa5aae4f","3867","True","True"
"supabase-migrations/20260812191000_sales_order_document_type_options.sql","3042151073a1cd1302df818ad1bd2438792e6055384870d5994c2d7aacf1a438","7818","True","True"
"supabase-migrations/20260812210000_document_number_generator.sql","bce6515103552e55598e2466c46334563c3a10518d7cff1b4ea12116cebf9b40","26591","True","True"
"supabase-migrations/20260812220000_normalize_lowcode_page_table_names.sql","1bcb8f60b248f3a73e25efd650406459009b05c276076c399802655b69296864","2073","True","False"
"supabase-migrations/20260813090000_planning_item_display_name.sql","9f94c4b50571f8ca39318e732a8d71451c20df1b2a482151874efa7aaa6654ce","16858","True","True"
"supabase-migrations/20260813110000_sales_order_item_base_info.sql","09f205c44a83d183ba2e60956d9f14e6672173fc649d760d93c9063fb26ed070","6600","True","True"
"supabase-migrations/20260813121000_sales_order_incremental_detail_save.sql","19d985bb468a068436b5a28585049a776fafdf71880ff766bb610fcf20b98f9f","8519","True","True"
"supabase-migrations/20260813130000_trigger_workflow_inspector_forms.sql","953f55192ac576c4e210325cba50aa8b724b38d5301b7c28c17d98abb14c86ca","34746","False","True"
"supabase-migrations/20260813140000_trigger_workflow_model_picker.sql","0b05941cf28a4f57277290676773716447cf1f02e1b0640ecb4cb0ba1be1f098","5015","True","True"
"supabase-migrations/20260813150000_ai_assistant.sql","c19ba852ae4c4002495835c9334764cd643c7be977976d84d1b037c060b93f10","45162","True","False"
"supabase-migrations/20260814130000_sales_order_print_designer_dialog.sql","009c64cd24ed31cb8d7b1b6b282d00dbfebcecb8bd00215820bd91cb9386d291","4701","True","True"
"supabase-migrations/20260816120000_workflow_model_management_lowcode_page.sql","474913613d101a3a7f5fdfd9259828c37ff9cc892596421916635be9d51c713b","9408","True","True"
"supabase-migrations/20260817100000_repair_dynamic_route_edit_binding.sql","c4b4749bfccab6a133ff8fb02904d00e0c3998494fd3586b92efd717650cc0f2","4222","True","True"
"supabase-migrations/20260817110000_planning_console_parameter_form.sql","b15b46b7c41a92bb4de2f43f5c25e7b750ac8e28c68ca2661b2ea4afc0c46232","21628","True","True"
"supabase-migrations/20260818100000_vxe_tabs_material_property_form.sql","d93a55f3c0a21af982951b5d7033f1e47237b983bb87efa117d48c52634bfa1f","2421","False","True"
"supabase-migrations/20260818110000_page_info_lowcode_editor_page.sql","cbcae2ef7cb910043567a80a06421dd351ef42d415d0c368042db0e622a698eb","2453","True","True"
"supabase-migrations/20260818120000_lowcode_pages_edit_page_info_form.sql","4cf717970042d3b1d9cefbdc845ddbb9f95b33690001930b759302e9efc937f4","4653","True","True"
"supabase-migrations/20260819100000_database_only_material_property_forms.sql","c2f780f9024203999444a5a5e72b20dc18d019f91376d19cf3c1115d99cb973d","196168","False","True"
"supabase-migrations/20260820103000_sales_order_ordered_qty_validation.sql","4e955519c258d490c7d9a773871b65f68666c0d7c369f93e2f8eacb5bbe6a061","3774","True","True"
"supabase-migrations/20260820110000_sales_order_ordered_qty_field_binding.sql","f2dda71c319f5154575b60e0b13bb2266a03ea26dfaf9021cd34049a091b2c6d","5422","True","True"
"supabase-migrations/20260821110000_planning_console_runtime_capabilities_forward_fix.sql","d9d5abf471f1de2c4519ddace70930407fd96b48bd998e774d75b3e5f5d6d7d3","1962","True","True"
"supabase-migrations/20260821113000_planning_console_select_submitted_version.sql","caef70761d7f9a7f09a24f7ac65b78b4f6ec5cd9298ba5a1a45d780c1d5d3c19","6762","True","True"
"supabase-migrations/20260821123000_planning_console_gantt_delivery_plans.sql","ce563f49f6b7171772c4732177a1d884396d3ded9f0997825d9929646e7cd186","3270","True","True"
"supabase-migrations/20260822100000_planning_console_script_context_payload_fix.sql","a7675e0ea88d62dc282754a3c057a6ee74ddd214e5f6543c1c51d08225c2283a","2098","True","True"
"supabase-migrations/20260823100000_planning_console_grid_list_items.sql","24306990ff726eacb669bb2f88f2bfbf82df7b6d6704b6ea0ef2cc1c590f66bd","15145","True","True"
"supabase-migrations/20260824120000_auto_create_lowcode_page_for_admin_route.sql","9e74cf34e13ecc722fdf2998334fe31eccc02eb97f1427cd0e9503ec3f9a43b5","2867","True","False"
"supabase-migrations/20260824130000_repair_lowcode_pages_edit_data_binding.sql","06a29762ca6eb0c6c54c19df4f49c06469e402d43a268776544eab06d610e8c5","2959","True","True"
"supabase-migrations/20260825200000_form_definition_designer_button.sql","6fc6113bd917c37817eeee36bc5dbf412893afd542da6663ab76d19da0044307","6915","True","True"
"supabase-migrations/20260826120000_planning_gantt_display_settings_form.sql","fb88466f33eea00f9ddd7f6bc878b2e76a7e97c2a1a973ccead1e26c254794f2","1990","False","True"
"supabase-migrations/20260826121000_planning_console_gantt_form_binding.sql","e746b26430d6b9b2bf6ecc5951604634e3f60e145511d0dc2a24557987fec906","2524","True","True"
"supabase-migrations/20260826130000_grid_designer_form_schemas.sql","db138a21cf2a7afbf87bb5c842264be50e8568e4bdaf346225a1af940058edc5","50281","False","True"
"supabase-migrations/20260826143000_grid_detail_schema_save.sql","3dec612d6a99772eb67fa9b049610ac1703869f75ddca943952c093f65093f41","10430","True","True"
"supabase-migrations/20260826150000_bind_option_items_filter_to_form.sql","f0a26c9fd34d8a0efa37144720ff10360d7f14b9f3018828ce1ec1e864107205","1354","True","True"
"supabase-migrations/20260827100000_form_node_data_source_binding.sql","53ddb4d24676b521e5666c8dfd4e9254b4e483de07c1758cd65f0cd28154630b","3994","True","True"
"supabase-migrations/20260827110000_sales_order_form_node_source.sql","d6722e42b61c486357f7964bc8788ab3725bf14d30501c6292f320831438b234","2505","True","True"
"supabase-migrations/20260827120000_planning_itemsupplier_relations_view.sql","bd32bc683bb8c13747d3fa15d9610306e42123128e450ac8dd5c91d8a3ad02dc","10615","True","True"
"supabase-migrations/20260828120000_use_default_value_for_function_defaults.sql","1a90025054e405ba870c04bbf0bd5c3d809041e620b91a0513eb03daabe0186b","3930","True","False"
"supabase-migrations/20260828130000_clear_dynamic_form_default_initial_values.sql","17321a855524d525e0bd0aaed9f26af454cb44b817ebeb76fbcca45ca51cfc08","1911","True","False"
"supabase-migrations/20260828160000_planning_category_target_type_option_source.sql","41029c16a149c742866d337b0b7d1db0c0609f691747743f439864c223034c00","6648","True","True"
"supabase-migrations/20260828180000_form_definition_designer_execute_function.sql","bad2aa2c0156cf4247e1286cc0fe1433e718e538c26c2bec348d79a247355700","5793","True","True"
"supabase-migrations/20260828190000_form_definition_page_list_type.sql","b1d171cd6303f148eae3abe6ed107293f7d3706f2d7568215febe81da0b84995","1377","True","True"
"supabase-migrations/20260829130000_planning_operationresource_view.sql","dca7674744d48ad443e9483a83b5e32ace5682a450054e2dd37ec8aae54ba91e","5767","True","True"
"supabase-migrations/20260830100000_planning_itemsupplier_view_binding.sql","73291911b226d2532f422e8d770894d2d6d01ee52d71334328075723f147231c","8313","True","True"
"supabase-migrations/20260831100000_planning_itemdistribution_view_binding.sql","c59f2423691a3b17a33ae66ca8a36315ab2d6368fde3453c6f760082b6476650","13514","True","True"
"supabase-migrations/20260831110000_planning_buffer_view_binding.sql","957583ec3e9d485d2793e713a7008117664f00810fd6c12f71098c521a4e00a9","12863","True","True"
"supabase-migrations/20260831120000_planning_relation_views_all_pages.sql","2dcc0723382721c9250b49b835226ec38be89d8717ebafdeacbd81711b7abb82","12207","True","True"
"supabase-migrations/20260831130000_planning_relation_grid_columns.sql","c067a303083d5c412c3290ffe81370bd8149e1ea6592499b435e3398a6255db2","4753","True","True"
"supabase-migrations/20260831170000_button_group_designer_form_schema.sql","16f6fd1d9e091ec118ee5857e28db5949a47b9759f0c2ff8609172f1877bae54","7874","False","True"
"supabase-migrations/20260901090000_restore_sales_order_print_designer_button.sql","22288346bc70d38af511accae22c8fa3251a648a8ce0ed3d7370f4157e9a4b66","4776","True","True"
"supabase-migrations/20260902090000_planning_route_designer_lowcode_page.sql","1179c4d54143e499210787d1681513fac30716bcc50f9da5d4c4e702da5b8149","16648","True","True"
"supabase-migrations/20260903110000_planning_suboperation_view_search.sql","e3998a8b9f1a48c220733987abeb660e4148fabf0134e230c504d61ffc424a5c","14039","True","True"
"supabase-migrations/20260903120000_planning_operation_relation_view_binding.sql","63200deb11d82c14c12895f773b5b8ab110d40e4d8d7b45e622c9ac7ae9f1955","15923","True","True"
"supabase-migrations/20260904113000_approval_workflow_lowcode.sql","4709e878163f5ce1e5a8bff5b92a8290719a851f69a0889bb244ca0af20a2fdb","10143","False","True"
"supabase-migrations/20260904113100_approval_workflow_designer_page.sql","382e721ca30fd022d2aad3039ccc92ae65bddce323dcca590cb39f9228d7c6dd","2471","True","True"
"supabase-migrations/20260904140000_approval_workflow_material_property.sql","bc59a4fe2dcef7770631706a944f8022d46c77992996673fea64c8be00e10bc2","1582","False","True"
"supabase-migrations/20260905100000_approval_workflow_page_functions.sql","7f5ebdc8b957bfa0792f7fb7964996b169290741cc701185282656917b5f0ad7","19688","True","True"
"supabase-migrations/20260905110000_trigger_workflow_lowcode_designer.sql","db7fbffc9f2f3612680b23c8f33179e1075cc78b4574060794a7e4b4e61493de","19548","True","True"
"supabase-migrations/20260905130000_restore_planning_console_schema.sql","598865461e39632c33ee704c4609c9c4c1e0c5403048c7d7b00d470868eed7c5","119935","True","True"
"supabase-migrations/20260906100000_fix_planning_route_option_mapping.sql","6702601eefcc40346932218f1ca4f190881c32b143ed0d9c6132f22b089ba393","2092","True","True"
"supabase-migrations/20260906110000_enterprise_training_lowcode_entities.sql","7cd385a140e4a763246601693bd2180176e1fe34b24e287130f94729cd92d37b","13983","True","True"
"supabase-migrations/20260906110000_sales_order_block_id_source_keys.sql","e580fb2fca0b3e114bb585e8439f69c87e9deec1c5e2198d0052bc1b06a4454a","5590","True","True"
"supabase-migrations/20260906113000_sales_order_nested_source_keys.sql","5c17f50a4ac8271722c99f35a481211f47144934fc3541513c8175b6df1540d5","2086","True","True"
"supabase-migrations/20260906120000_enterprise_training_grid_only.sql","c8d7fecb18439375b2e6154939b536211155ca9c161c3f75dc6b5bef6f679a02","1617","True","True"
"supabase-migrations/20260906130000_training_progress_audit_columns.sql","41989ccce99b0a569d092271ff627df12e702beb4bd2d5ffb254db824b1a031a","1924","True","True"
"supabase-migrations/20260906140000_training_course_edit_page.sql","e7a2fa698330ba41d4bad87aec63b70d405ecfaf88e806b1a932b132a3fd8fdd","9411","True","True"
"supabase-migrations/20260906150000_vxe_upload_material.sql","7236b6dac20767dfae303f4a6394a62557abf166042f5e7f5deee22a30dbf64d","13309","False","True"
"supabase-migrations/20260906160000_planning_relation_option_source_views.sql","dda5e907d81e2cd2c894b9200f2938596c4689afb4c18b08a7d1c9c06a965d58","8367","True","True"
"supabase-migrations/20260906170000_sales_orders_related_view_columns.sql","cb04dec518e06e0b663f9645f1d119cbe2167d54cedc65819fd62f7f17b9eaa0","9795","True","True"
"supabase-migrations/20260906180000_planning_demand_related_view.sql","98e0fba576df9ce899782fc73f1e6e78bfba9015282685393e8c48128739196d","7163","True","True"
"supabase-migrations/20260906190000_planning_route_designer_new_route_dialog.sql","be729a010daced6835a4b1e817a5962398eb852671c1082516021df98f4a91cc","3568","True","True"
"supabase-migrations/20260906200000_planning_operation_calendar_view_option.sql","cf1e29cbac6864e331f9ce402f26de7138c00ee554c685cde9448d8307f152cf","3094","True","True"
"supabase-migrations/20260907210000_planning_route_designer_bom_tree_grid.sql","fa75b5b27a33b1d3b62c746aba2adc1c16ca15f0a5703530f74ec8efd6e43c13","12453","True","True"
"supabase-migrations/20260907220000_training_chapter_edit_page.sql","d716b6146885c77867afb6cc7ea778af081155e07fb739035ab440d1fcaeb65c","13777","True","True"
"supabase-migrations/20260907230000_label_designer_lowcode_material.sql","5b95d48c60ad420caf3fb44c79d8b140019dd54dcd484473053430f8bd6d36ca","17124","True","True"
"supabase-migrations/20260907230000_vxe_upload_artplayer_inline_preview.sql","b861192c7454e61e7f33d0139ea0c7a901c76b5f71665fe096c2e1747f8e6ffa","14512","True","True"
