"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JSON", "Vue", "Markdown", "CSS", "HTML", "JavaScript", "TypeScript JSX", "Skill", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\enLearn\packages\gantt-main\store\src\scales.ts", "TypeScript", -353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44, -398
"e:\enLearn\packages\gantt-main\store\src\schedule-types.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"e:\enLearn\packages\gantt-main\store\src\taskTypes.ts", "TypeScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"e:\enLearn\packages\gantt-main\store\src\tasks.ts", "TypeScript", -218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -27, -247
"e:\enLearn\packages\gantt-main\store\src\time.ts", "TypeScript", -394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -31, -429
"e:\enLearn\packages\gantt-main\store\src\types.ts", "TypeScript", -573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -69, -643
"e:\enLearn\packages\gantt-main\store\test\calendars.spec.ts", "TypeScript", -146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -28, -180
"e:\enLearn\packages\gantt-main\store\test\columns.spec.ts", "TypeScript", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -9, -45
"e:\enLearn\packages\gantt-main\store\test\datastore.spec.ts", "TypeScript", -2232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, -582, -2852
"e:\enLearn\packages\gantt-main\store\test\group.spec.ts", "TypeScript", -321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -37, -361
"e:\enLearn\packages\gantt-main\store\test\history.spec.ts", "TypeScript", -1724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -314, -2044
"e:\enLearn\packages\gantt-main\store\test\links.spec.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -26
"e:\enLearn\packages\gantt-main\store\test\public-api.spec.ts", "TypeScript", -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -67
"e:\enLearn\packages\gantt-main\store\test\resources.spec.ts", "TypeScript", -1221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -143, -1386
